xValue	yValue	deviceType	candela	watts
-880	-378	Strobe	75	0.5
-426	656	Strobe	15	1.0
-34	-342	Strobe	15	0.5
-547	-382	SpeakerStrobe	115	1.0
877	-597	Strobe	15	0.5
464	-52	SpeakerStrobe	30	0.5
-512	-486	Strobe	115	1.0
102	-283	SpeakerStrobe	75	1.0
-941	-359	SpeakerStrobe	30	0.5
734	-392	SpeakerStrobe	115	1.0
172	289	Strobe	15	0.5
-320	-786	SpeakerStrobe	115	1.0
797	-488	SpeakerStrobe	75	0.5
354	-473	Strobe	75	0.5
581	-43	Strobe	115	1.0
130	-749	Strobe	30	1.0
866	-353	Strobe	115	0.5
147	-511	SpeakerStrobe	15	0.5
-477	-720	Strobe	75	0.5
-388	-271	SpeakerStrobe	15	1.0
-270	138	SpeakerStrobe	30	0.5
-352	84	SpeakerStrobe	75	1.0
-978	-990	Strobe	115	0.5
-607	88	SpeakerStrobe	15	1.0
-487	-13	Strobe	30	0.5
209	-822	Strobe	75	0.5
-850	-983	Strobe	115	1.0
-815	-615	SpeakerStrobe	15	1.0
509	-234	SpeakerStrobe	30	0.5
-595	540	Strobe	115	1.0
